number,position,name,birthday,age,caps,goals,club,country
11,FW,Rikako Kobayashi,21 July 1997,21,5,2,Japan Nippon TV Beleza,Japan
12,DF,Moeka Minami,7 December 1998,20,5,0,Japan Urawa Red Diamonds,Japan
13,MF,Saori Takarada,27 December 1999,19,0,0,Japan Cerezo Osaka Sakai,Japan
14,MF,Yui Hasegawa,29 January 1997,22,36,6,Japan Nippon TV Beleza,Japan
15,FW,Yuka Momiki,9 April 1996,23,25,8,Japan Nippon TV Beleza,Japan
16,DF,Asato Miyagawa,24 February 1998,21,5,0,Japan Nippon TV Beleza,Japan
17,MF,Narumi Miura,3 July 1997,21,9,0,Japan Nippon TV Beleza,Japan
18,GK,Ayaka Yamashita,29 September 1995,23,27,0,Japan Nippon TV Beleza,Japan
19,FW,Jun Endo,24 May 2000,19,5,0,Japan Nippon TV Beleza,Japan
20,FW,Kumi Yokoyama,13 August 1993,25,41,17,Japan AC Nagano Parceiro,Japan
21,GK,Chika Hirao,31 December 1996,22,2,0,Japan Albirex Niigata,Japan
22,DF,Risa Shimizu,15 June 1996,22,24,0,Japan Nippon TV Beleza,Japan
23,DF,Shiori Miyake,13 October 1995,23,18,0,Japan INAC Kobe Leonessa,Japan
1,GK,Lee Alexander,23 September 1991,27,17,0,Scotland Glasgow City,Scotland
2,DF,Kirsty Smith,6 January 1994,25,35,0,England Manchester United,Scotland
3,DF,Nicola Docherty,23 August 1992,26,19,0,Scotland Glasgow City,Scotland
4,DF,Rachel Corsie,17 August 1989,29,109,16,United States Utah Royals,Scotland
5,DF,Jen Beattie,13 May 1991,28,124,22,England Manchester City,Scotland
6,MF,Joanne Love,6 December 1985,33,191,13,Scotland Glasgow City,Scotland
7,DF,Hayley Lauder,4 June 1990,29,99,9,Scotland Glasgow City,Scotland
8,MF,Kim Little,29 June 1990,28,133,53,England Arsenal,Scotland
9,MF,Caroline Weir,20 June 1995,23,63,8,England Manchester City,Scotland
10,MF,Leanne Crichton,6 August 1987,31,63,3,Scotland Glasgow City,Scotland
11,FW,Lisa Evans,21 May 1992,27,78,17,England Arsenal,Scotland
12,GK,Shannon Lynn,22 October 1985,33,30,0,Sweden Vittsjö,Scotland
13,FW,Jane Ross,18 September 1989,29,127,58,England West Ham United,Scotland
14,DF,Chloe Arthur,21 January 1995,24,19,0,England Birmingham City,Scotland
15,DF,Sophie Howard,17 September 1993,25,14,1,England Reading,Scotland
16,MF,Christie Murray,3 May 1990,29,61,4,England Liverpool,Scotland
17,DF,Joelle Murray,7 November 1986,32,48,1,Scotland Hibernian,Scotland
18,FW,Claire Emslie,8 March 1994,25,21,3,England Manchester City,Scotland
19,FW,Lana Clelland,26 January 1993,26,25,3,Italy Fiorentina,Scotland
20,FW,Fiona Brown,31 March 1995,24,37,2,Sweden Rosengård,Scotland
21,GK,Jenna Fife,1 December 1995,23,4,0,Scotland Hibernian,Scotland
22,FW,Erin Cuthbert,19 July 1998,20,30,10,England Chelsea,Scotland
23,FW,Lizzie Arnot,1 March 1996,23,26,2,England Manchester United,Scotland
1,GK,Annette Ngo Ndom,3 June 1985,34,50,0,Cameroon Amazone FAP,Cameroon
2,DF,Christine Manie,4 May 1984,35,63,10,France Yzeure,Cameroon
3,FW,Ajara Nchout,12 January 1993,26,49,5,Norway Vålerenga,Cameroon
4,DF,Yvonne Leuko,20 November 1991,27,29,0,France Strasbourg,Cameroon
5,DF,Augustine Ejangue,19 January 1989,30,62,0,Norway Arna-Bjørnar,Cameroon
6,DF,Estelle Johnson,21 July 1988,30,,,United States Sky Blue FC,Cameroon
7,FW,Gabrielle Onguéné,25 February 1989,30,58,17,Russia CSKA Moscow,Cameroon
8,MF,Raissa Feudjio,29 September 1995,23,60,1,Spain Granadilla,Cameroon
9,FW,Madeleine Ngono Mani,16 October 1983,35,128,49,France Ambilly [fr],Cameroon
10,MF,Jeannette Yango,12 June 1993,25,38,1,France Saint-Malo,Cameroon
11,DF,Aurelle Awona,2 February 1993,26,4,0,France Dijon,Cameroon
12,DF,Claudine Meffometou,1 July 1990,28,31,1,France Guingamp,Cameroon
13,MF,Charlène Meyong,19 November 1998,20,,,Cameroon Louves Miniproff [de],Cameroon
14,MF,Ninon Abena,5 September 1994,24,,,Cameroon Louves Miniproff [de],Cameroon
15,DF,Ysis Sonkeng,20 September 1989,29,,,Cameroon Amazone FAP,Cameroon
16,GK,Isabelle Mambingo,10 April 1985,34,,,Nigeria Sunshine Queens,Cameroon
17,FW,Gaëlle Enganamouit,9 June 1992,26,43,5,Unattached,Cameroon
18,FW,Henriette Akaba,7 June 1992,27,38,0,Turkey Beşiktaş,Cameroon
19,FW,Marlyse Ngo Ndoumbouk,3 January 1985,34,,,France Nancy,Cameroon
20,MF,Genevieve Ngo Mbeleck,10 March 1993,26,14,1,Cameroon Amazone FAP,Cameroon
21,FW,Alexandra Takounda,7 July 2000,18,,,Cameroon Eclair,Cameroon
22,MF,Michaela Abam,13 June 1997,21,,,France Paris FC,Cameroon
23,GK,Marthe Ongmahan,12 June 1992,26,0,0,Cameroon AWA Yaoundé,Cameroon
1,GK,Stephanie Labbé,10 October 1986,32,61,0,United States North Carolina Courage,Canada
2,DF,Allysha Chapman,25 January 1989,30,64,1,United States Houston Dash,Canada
3,DF,Kadeisha Buchanan,5 November 1995,23,88,3,France Lyon,Canada
4,DF,Shelina Zadorsky,24 August 1992,26,52,1,United States Orlando Pride,Canada
5,MF,Quinn[note 1],11 August 1995,23,48,5,France Paris FC,Canada
6,FW,Deanne Rose,3 March 1999,20,40,8,United States Florida Gators,Canada
7,MF,Julia Grosso,29 August 2000,18,16,0,United States Texas Longhorns,Canada
8,DF,Jayde Riviere,22 January 2001,18,5,0,Canada Vancouver Whitecaps,Canada
9,FW,Jordyn Huitema,8 May 2001,18,21,6,Canada Vancouver Whitecaps,Canada
10,DF,Ashley Lawrence,11 June 1995,23,76,5,France Paris Saint-Germain,Canada
11,MF,Desiree Scott,31 July 1987,31,143,0,United States Utah Royals,Canada
12,FW,Christine Sinclair,12 June 1983,35,282,181,United States Portland Thorns,Canada
13,MF,Sophie Schmidt,28 June 1988,30,184,19,United States Houston Dash,Canada
14,MF,Gabrielle Carle,12 October 1998,20,13,1,United States Florida State Seminoles,Canada
15,FW,Nichelle Prince,19 February 1995,24,50,10,United States Houston Dash,Canada
16,FW,Janine Beckie,20 August 1994,24,56,25,England Manchester City,Canada
17,MF,Jessie Fleming,11 March 1998,21,65,8,United States UCLA Bruins,Canada
18,GK,Kailen Sheridan,16 July 1995,23,7,0,United States Sky Blue FC,Canada
19,FW,Adriana Leon,2 October 1992,26,57,15,England West Ham United,Canada
20,DF,Shannon Woeller,31 January 1990,29,20,0,Sweden Eskilstuna United,Canada
21,GK,Sabrina D'Angelo,11 May 1993,26,6,0,Sweden Vittsjö,Canada
22,DF,Lindsay Agnew,31 March 1995,24,11,0,United States Houston Dash,Canada
23,DF,Jenna Hellstrom,2 April 1995,24,4,0,Sweden KIF Örebro,Canada
1,GK,Sari van Veenendaal,3 April 1990,29,53,0,England Arsenal,Netherlands
2,DF,Desiree van Lunteren,30 December 1992,26,71,0,Germany SC Freiburg,Netherlands
3,DF,Stefanie van der Gragt,16 August 1992,26,56,7,Spain Barcelona,Netherlands
4,DF,Merel van Dongen,11 February 1993,26,27,1,Spain Real Betis,Netherlands
5,DF,Kika van Es,11 October 1991,27,58,0,Netherlands Ajax,Netherlands
6,DF,Anouk Dekker,15 November 1986,32,77,6,France Montpellier,Netherlands
7,FW,Shanice van de Sanden,2 October 1992,26,64,17,France Lyon,Netherlands
8,MF,Sherida Spitse,29 May 1990,29,162,30,Norway Vålerenga,Netherlands
9,FW,Vivianne Miedema,15 July 1996,22,75,58,England Arsenal,Netherlands
10,MF,Daniëlle van de Donk,5 August 1991,27,89,16,England Arsenal,Netherlands
11,FW,Lieke Martens,16 December 1992,26,103,42,Spain Barcelona,Netherlands
12,MF,Victoria Pelova,3 June 1999,20,3,0,Netherlands ADO Den Haag,Netherlands
13,FW,Renate Jansen,7 December 1990,28,36,3,Netherlands Twente,Netherlands
14,MF,Jackie Groenen,17 December 1994,24,46,2,Germany 1. FFC Frankfurt,Netherlands
15,MF,Inessa Kaagman,17 April 1996,23,2,0,England Everton,Netherlands
16,GK,Lize Kop,17 March 1998,21,1,0,Netherlands Ajax,Netherlands
17,FW,Ellen Jansen,6 October 1992,26,14,1,Netherlands Ajax,Netherlands
18,DF,Danique Kerkdijk,1 May 1996,23,19,0,England Bristol City,Netherlands
19,MF,Jill Roord,22 April 1997,22,41,3,Germany Bayern Munich,Netherlands
20,DF,Dominique Bloodworth,17 January 1995,24,47,0,England Arsenal,Netherlands
21,FW,Lineth Beerensteyn,11 October 1996,22,40,9,Germany Bayern Munich,Netherlands
22,DF,Liza van der Most,8 October 1993,25,13,0,Netherlands Ajax,Netherlands
23,GK,Loes Geurts,12 January 1986,33,123,0,Sweden Kopparbergs/Göteborg,Netherlands
1,GK,Erin Nayler,17 April 1992,27,63,0,France Bordeaux,New Zealand
2,MF,Ria Percival,7 December 1989,29,141,14,England West Ham United,New Zealand
3,DF,Anna Green,20 August 1990,28,73,7,New Zealand Miramar Rangers,New Zealand
4,DF,C. J. Bott,22 April 1995,24,17,1,Sweden Vittsjö,New Zealand
5,DF,Nicole Stratford,1 February 1989,30,0,0,New Zealand Glenfield Rovers,New Zealand
6,DF,Rebekah Stott,17 June 1993,25,73,4,Norway Avaldsnes,New Zealand
7,DF,Ali Riley,30 October 1987,31,125,1,England Chelsea,New Zealand
8,DF,Abby Erceg,20 November 1989,29,137,6,United States North Carolina Courage,New Zealand
9,FW,Emma Kete,1 September 1987,31,51,3,Unattached,New Zealand
10,MF,Annalie Longo,1 July 1991,27,115,15,Unattached,New Zealand
11,FW,Sarah Gregorius,6 August 1987,31,93,34,New Zealand Miramar Rangers,New Zealand
12,MF,Betsy Hassett,4 August 1990,28,113,13,Iceland KR Reykjavik,New Zealand
13,MF,Rosie White,6 June 1993,26,101,24,Unattached,New Zealand
14,MF,Katie Bowen,15 April 1994,25,61,3,United States Utah Royals,New Zealand
15,DF,Sarah Morton,28 August 1998,20,6,1,New Zealand Western Springs,New Zealand
16,MF,Katie Duncan,1 February 1988,31,122,1,New Zealand Onehunga Sports,New Zealand
17,FW,Hannah Wilkinson,28 May 1992,27,89,25,Unattached,New Zealand
18,DF,Stephanie Skilton,27 October 1994,24,9,0,New Zealand Papakura City,New Zealand
19,FW,Paige Satchell,13 April 1998,21,13,1,New Zealand Three Kings United,New Zealand
20,MF,Daisy Cleverley,30 April 1997,22,8,2,United States California Golden Bears,New Zealand
21,GK,Victoria Esson,6 March 1991,28,3,0,Norway Avaldsnes,New Zealand
22,MF,Olivia Chance,5 October 1993,25,13,0,England Everton,New Zealand
23,GK,Nadia Olla,7 February 2000,19,1,0,New Zealand Western Springs,New Zealand
1,GK,Christiane Endler,23 July 1991,27,21,0,France Paris Saint-Germain,Chile
2,DF,Rocío Soto,21 September 1993,25,13,2,Spain Zaragoza,Chile
3,DF,Carla Guerrero,23 December 1987,31,15,4,Spain Rayo Vallecano,Chile
4,MF,Francisca Lara,29 July 1990,28,23,9,Spain Sevilla,Chile
5,DF,Valentina Díaz,30 March 2001,18,2,0,Chile Colo-Colo,Chile
6,MF,Claudia Soto,6 July 1993,25,15,0,Brazil Santos,Chile
7,FW,María José Rojas,17 December 1987,31,21,12,Czech Republic Slavia Praha,Chile
8,MF,Karen Araya,16 October 1990,28,21,6,Spain Sevilla,Chile
9,FW,María José Urrutia,17 December 1993,25,7,0,Brazil 3B da Amazônia [pt],Chile
10,FW,Yanara Aedo,5 August 1993,25,20,9,Spain Valencia,Chile
11,MF,Yessenia López,20 October 1990,28,21,3,Spain Sporting Huelva,Chile
12,GK,Natalia Campos,12 January 1992,27,3,0,Chile Universidad Católica,Chile
13,FW,Javiera Grez,11 July 2000,18,9,1,Chile Curicó Unido,Chile
14,MF,Daniela Pardo,5 September 1988,30,5,0,Chile Santiago Morning,Chile
15,DF,Su Helen Galaz,27 May 1991,28,11,0,Spain Zaragoza,Chile
16,DF,Fernanda Pinilla,6 November 1993,25,16,0,Spain Córdoba,Chile
17,DF,Javiera Toro,22 April 1998,21,3,0,Chile Santiago Morning,Chile
18,DF,Camila Sáez,17 October 1994,24,21,3,Spain Rayo Vallecano,Chile
19,FW,Yessenia Huenteo,30 October 1992,26,16,1,Spain Cáceres,Chile
20,FW,Daniela Zamora,13 November 1990,28,11,0,Chile Universidad de Chile,Chile
21,FW,Rosario Balmaceda,23 March 1999,20,4,0,Chile Colo-Colo,Chile
22,MF,Elisa Durán,16 January 2002,17,0,0,Chile Colo-Colo,Chile
23,GK,Ryann Torrero,1 September 1990,28,0,0,Unattached,Chile
1,GK,Hedvig Lindahl,29 April 1983,36,158,0,England Chelsea,Sweden
2,DF,Jonna Andersson,2 January 1993,26,41,0,England Chelsea,Sweden
3,DF,Linda Sembrant,15 May 1987,32,110,8,France Montpellier,Sweden
4,DF,Hanna Glas,16 April 1993,26,22,0,France Paris Saint-Germain,Sweden
5,DF,Nilla Fischer,2 August 1984,34,176,23,Germany VfL Wolfsburg,Sweden
6,DF,Magdalena Eriksson,8 September 1993,25,49,5,England Chelsea,Sweden
7,FW,Madelen Janogy,12 November 1995,23,4,1,Sweden Piteå,Sweden
8,FW,Lina Hurtig,15 September 1995,23,18,3,Sweden Linköping,Sweden
9,FW,Kosovare Asllani,29 July 1989,29,127,32,Sweden Linköping,Sweden
10,FW,Sofia Jakobsson,23 April 1990,29,101,17,France Montpellier,Sweden
11,FW,Stina Blackstenius,5 February 1996,23,44,10,Sweden Linköping,Sweden
12,GK,Jennifer Falk,26 April 1993,26,0,0,Sweden Kopparbergs/Göteborg,Sweden
13,DF,Amanda Ilestedt,17 January 1993,26,26,2,Germany Turbine Potsdam,Sweden
14,MF,Julia Roddar,16 February 1992,27,6,0,Sweden Kopparbergs/Göteborg,Sweden
15,DF,Nathalie Björn,4 May 1997,22,9,2,Sweden Rosengård,Sweden
16,FW,Julia Zigiotti Olme,24 December 1997,21,7,0,Sweden Kopparbergs/Göteborg,Sweden
17,MF,Caroline Seger,19 March 1985,34,193,27,Sweden Rosengård,Sweden
18,FW,Fridolina Rolfö,24 November 1993,25,35,8,Germany Bayern Munich,Sweden
19,FW,Anna Anvegård,10 May 1997,22,9,1,Sweden Växjö,Sweden
20,FW,Mimmi Larsson,9 April 1994,25,20,6,Sweden Linköping,Sweden
21,GK,Zećira Mušović,26 May 1996,23,2,0,Sweden Rosengård,Sweden
22,MF,Olivia Schough,11 March 1991,28,72,9,Sweden Djurgården,Sweden
23,MF,Elin Rubensson,11 May 1993,26,63,2,Sweden Kopparbergs/Göteborg,Sweden
1,GK,Waraporn Boonsing,16 February 1990,29,,,Thailand Bundit Asia,Thailand
2,DF,Kanjanaporn Saengkoon,18 July 1996,22,,,Thailand Bundit Asia,Thailand
3,DF,Natthakarn Chinwong,15 March 1992,27,,,Thailand Bundit Asia,Thailand
4,DF,Duangnapa Sritala,4 February 1986,33,,,Thailand Bangkok,Thailand
5,DF,Ainon Phancha,26 January 1992,27,,,Thailand Chonburi Sriprathum,Thailand
6,MF,Pikul Khueanpet,20 September 1988,30,,,Thailand Bundit Asia,Thailand
7,MF,Silawan Intamee,22 January 1994,25,,,Thailand Chonburi Sriprathum,Thailand
8,FW,Miranda Nild,1 April 1997,22,,,United States California Golden Bears,Thailand
9,DF,Warunee Phetwiset,13 December 1990,28,,,Thailand Chonburi Sriprathum,Thailand
10,DF,Sunisa Srangthaisong,6 May 1988,31,,,Thailand Bundit Asia,Thailand
11,MF,Sudarat Chuchuen,19 June 1997,21,,,Thailand Sisaket,Thailand
12,MF,Rattikan Thongsombut,7 July 1991,27,,,Thailand Bundit Asia,Thailand
13,FW,Orathai Srimanee,12 June 1988,30,,,Thailand Bundit Asia,Thailand
14,FW,Saowalak Pengngam,30 November 1996,22,,,Thailand Chonburi Sriprathum,Thailand
15,MF,Orapin Waenngoen,7 October 1995,23,,,Thailand Bundit Asia,Thailand
16,DF,Khwanrudi Saengchan,16 May 1991,28,,,Thailand Bundit Asia,Thailand
17,FW,Taneekarn Dangda,15 December 1992,26,,,Thailand Bangkok,Thailand
18,GK,Sukanya Chor Charoenying,24 November 1987,31,,,Thailand Air Force United,Thailand
19,DF,Pitsamai Sornsai,19 January 1989,30,,,Thailand Chonburi Sriprathum,Thailand
20,MF,Wilaiporn Boothduang,25 June 1987,31,,,Thailand Bangkok,Thailand
21,MF,Kanjana Sungngoen,21 September 1986,32,,,Thailand Bangkok,Thailand
22,GK,Tiffany Sornpao,22 May 1998,21,,,United States Kennesaw State Owls,Thailand
23,DF,Phornphirun Philawan,8 April 1999,20,,,Thailand Bundit Asia,Thailand
1,GK,Alyssa Naeher,20 April 1988,31,43,0,United States Chicago Red Stars,United States
2,FW,Mallory Pugh,29 April 1998,21,50,15,United States Washington Spirit,United States
3,MF,Sam Mewis,9 October 1992,26,47,9,United States North Carolina Courage,United States
4,DF,Becky Sauerbrunn,6 June 1985,34,155,0,United States Utah Royals,United States
5,DF,Kelley O'Hara,4 August 1988,30,115,2,United States Utah Royals,United States
6,MF,Morgan Brian,26 February 1993,26,82,6,United States Chicago Red Stars,United States
7,DF,Abby Dahlkemper,13 May 1993,26,37,0,United States North Carolina Courage,United States
8,MF,Julie Ertz,6 April 1992,27,79,18,United States Chicago Red Stars,United States
9,MF,Lindsey Horan,26 May 1994,25,66,8,United States Portland Thorns,United States
10,FW,Carli Lloyd (co-captain,16 July 1982,36,271,107,United States Sky Blue FC,United States
11,DF,Ali Krieger,28 July 1984,34,99,1,United States Orlando Pride,United States
12,DF,Tierna Davidson,19 September 1998,20,19,1,United States Chicago Red Stars,United States
13,FW,Alex Morgan (co-captain,2 July 1989,29,160,101,United States Orlando Pride,United States
14,DF,Emily Sonnett,25 November 1993,25,31,0,United States Portland Thorns,United States
15,FW,Megan Rapinoe (co-captain,5 July 1985,33,150,44,United States Reign FC,United States
16,MF,Rose Lavelle,14 May 1995,24,24,6,United States Washington Spirit,United States
17,FW,Tobin Heath,29 May 1988,31,147,28,United States Portland Thorns,United States
18,GK,Ashlyn Harris,19 October 1985,33,21,0,United States Orlando Pride,United States
19,DF,Crystal Dunn,3 July 1992,26,83,24,United States North Carolina Courage,United States
20,MF,Allie Long,13 August 1987,31,42,6,United States Reign FC,United States
21,GK,Adrianna Franch,12 November 1990,28,1,0,United States Portland Thorns,United States
22,FW,Jessica McDonald,28 February 1988,31,7,2,United States North Carolina Courage,United States
23,FW,Christen Press,29 December 1988,30,113,47,United States Utah Royals,United States
